event,rate,apt_reserve,usdc_reserve,version
swap,4.7889983397713385,51792296152801,2482815017905,27529678
swap,4.784033376475785,51819178152801,2481528306552,27529696
swap,4.7819565619531454,51830435152801,2480989884763,27529712
swap,4.784208064753976,51818243821371,2481574174090,27529775
swap,4.787097160316873,51802612681262,2482323724359,27529781
swap,4.790571669979422,51783832949417,2483224855760,27529817
swap,4.792766295797824,51771981515663,2483793874624,27529840
swap,4.795976093755285,51754662590954,2484625871137,27529871
swap,4.7982545034039115,51742379651156,2485216278058,27529930
swap,4.799090239523816,51737876378152,2485432808209,27529953
swap,4.800946861857382,51727876378156,2485913771454,27530198
swap,4.801783492571656,51723372076054,2486130472622,27530214
swap,4.807146370819469,51694527018257,2487519098569,27530234
swap,4.806373162515993,51698687018257,2487319137356,27530282
swap,4.804515251814345,51708687018257,2486838592898,27530367
swap,4.8021943781796255,51721187018257,2486238173492,27530372
swap,4.79929729703091,51736803139451,2485488483125,27530385
swap,4.797271323546252,51747732139451,2484964078590,27530404
swap,4.79649864413052,51751902139451,2484764048479,27530410
swap,4.795726151410267,51756072139451,2484564050585,27530460
swap,4.793632266577772,51767380227303,2484021864002,27530490
swap,4.7928604663025585,51771550227303,2483821985622,27530498
swap,4.794579197718169,51762274662860,2484267520772,27530602
swap,4.79459773585015,51762174644378,2484272325852,27530616
swap,4.796332965947605,51752815152327,2484722056013,27530617
swap,4.802206409587182,51721172590113,2486243708945,27530625
swap,4.804651785857604,51708015490656,2486876966670,27530663
swap,4.807743584184331,51691394751484,2487677392132,27530694
swap,4.806907034627118,51695894751484,2487461062485,27530707
swap,4.809131022708109,51683945935702,2488036714468,27530738
swap,4.809969251437084,51679444536390,2488253645159,27530771
swap,4.8120312436985015,51668376369411,2488787201209,27530800
swap,4.810432789341412,51676964369411,2488374012575,27530936
swap,4.809658789504904,51681124369411,2488173914663,27530945
swap,4.811226175620654,51672709637581,2488579511247,27531020
swap,4.812065543311643,51668205064856,2488796689463,27531416
swap,4.814125467569935,51657155213712,2489329594560,27531435
swap,4.8183149830566485,51634703664050,2490413076178,27531450
swap,4.8175409454543034,51638853664050,2490213132161,27531520
swap,4.816573324069765,51644042969928,2489963160321,27531541
swap,4.815799706165196,51648192969928,2489763288574,27531630
swap,4.813635291316373,51659809083469,2489204005474,27531649
swap,4.812860519025163,51663969083469,2489003774354,27531656
swap,4.812085933804453,51668129083469,2488803575461,27531681
swap,4.81003479714778,51679149804990,2488273361852,27531700
swap,4.809260894074014,51683309804990,2488073280495,27531712
swap,4.808429910712485,51687777749802,2487858423928,27531742
swap,4.810232534104722,51678096749804,2488324947813,27531967
swap,4.810213927330655,51678196749804,2488320137590,27531977
swap,4.81199060384125,51668660364975,2488779861755,27531978
swap,4.811216228932769,51672820364975,2488579699046,27532109
swap,4.809330474221323,51682954983069,2488092196175,27532150
swap,4.807783195345415,51691274983069,2487692124220,27532159
swap,4.80776460278829,51691374983069,2487687316447,27532163
swap,4.806991247894724,51695534983069,2487487329518,27532193
swap,4.8062180796153315,51699694983069,2487287374757,27532218
swap,4.80413105139579,51710929166298,2486747552596,27532228
swap,4.8040776189315855,51711216881984,2486733730435,27532271
swap,4.805937129175302,51701216881999,2487215193561,27532378
swap,4.8079334908443645,51690487384945,2487731986548,27532392
swap,4.807914897421358,51690587384945,2487727178624,27532397
swap,4.807933472250515,51690487584849,2487731986548,27532458
swap,4.807160076918172,51694647584849,2487531992595,27532519
swap,4.806386868213579,51698807584849,2487332030812,27532542
swap,4.80636828376385,51698907584849,2487327224435,27532552
swap,4.805904113642229,51701405399261,2487207176070,27532569
swap,4.802269244906565,51720978049002,2486266888901,27532574
swap,4.800723518183007,51729308049002,2485866924226,27532577
swap,4.800742073136239,51729208131568,2485871730603,27532634
swap,4.8007327972663685,51729258131568,2485869330235,27532664
swap,4.800714245605531,51729358131568,2485864529512,27532717
swap,4.800732778713632,51729258331479,2485869330235,27532777
swap,4.799959265665411,51733428331479,2485669155799,27532855
swap,4.797832892936946,51744896778979,2485118796875,27532874
swap,4.798018079147514,51743898685591,2485166780571,27532890
swap,4.797682464714908,51745709391376,2485079905618,27533030
swap,4.795435114339749,51757839185942,2484498092839,27533073
swap,4.795416593384626,51757939185942,2484493297414,27533111
swap,4.79464436500473,51762109185942,2484293344636,27533152
swap,4.794662865946619,51762009369786,2484298140061,27533170
swap,4.792550577803852,51773420717641,2483751124877,27533182
swap,4.791777191719628,51777600717641,2483550812420,27533218
swap,4.789731694067177,51788661110860,2483020936096,27533247
swap,4.788958990304289,51792841110860,2482820741454,27533252
swap,4.78897748611755,51792741144591,2482825538396,27533414
swap,4.791369406890558,51779818155082,2483445811838,27533430
swap,4.795261766126003,51758809315921,2484454848577,27533450
swap,4.797855521872525,51744823827183,2485127014290,27533464
swap,4.8006495973663545,51729770898487,2485850889246,27533513
swap,4.801266918536576,51726446886787,2486010793303,27533528
swap,4.801276218081928,51726396817596,2486013202076,27533577
swap,4.799498415894648,51735980817596,2485553132921,27533619
swap,4.798725202203438,51740150817596,2485353009952,27533624
swap,4.79563207311138,51756842383219,2484552285645,27533743
swap,4.794859793669225,51761012383219,2484352323883,27533744
swap,4.796458036129876,51752392255705,2484766543782,27533897
swap,4.798453931703963,51741633431227,2485283727436,27533907
swap,4.800549463000894,51730344742938,2485826613379,27533923
swap,4.802657116958872,51718998201674,2486372520473,27533934
swap,4.804631815027395,51708374201677,2486883881809,27533950
swap,4.806835961675677,51696523485261,2487454536362,27533969
swap,4.804908134026057,51706898485261,2486955927098,27534144
swap,4.803361136887003,51715228485261,2486555742656,27534151
swap,4.802742969371384,51718558211391,2486395814172,27534154
swap,4.798226730285559,51742904211391,2485227087985,27534161
swap,4.796034934014814,51754732073234,2484659689928,27534222
swap,4.794490368963818,51763072073234,2484259764996,27534229
swap,4.7963743303096456,51752910186481,2484748047420,27534328
swap,4.798229362753452,51742910186495,2485228738450,27534351
swap,4.7972038702268005,51748443167435,2484963281692,27534354
swap,4.79782096865757,51745116768246,2485123185749,27534356
swap,4.805530076307329,51703615694745,2487119922672,27534381
swap,4.807434520701467,51693378721025,2487612946498,27534460
swap,4.809295972606916,51683378721035,2488094746084,27534489
swap,4.811614720040344,51670930176513,2488694777132,27534679
swap,4.814120405190464,51657488138984,2489343020328,27534709
swap,4.815985741362462,51647488138997,2489825490036,27534762
swap,4.8222048349412265,51614189723415,2491433385744,27534808
swap,4.822138834857768,51614543117773,2491416344461,27534821
swap,4.825686441012416,51595576888259,2492333091150,27534918
swap,4.8254841513577755,51596658889869,2492280878239,27534930
swap,4.826843012038566,51589399224007,2492631943340,27535160
swap,4.827632866284161,51585180863729,2492835981491,27535214
swap,4.829443398702821,51575515290248,2493303622154,27535244
swap,4.8371727836679925,51534312808447,2495299052473,27535247
swap,4.8368976041275795,51535779459395,2495228110050,27535257
swap,4.842460827246123,51506182519022,2496663375469,27535277
swap,4.842354450035578,51506748544801,2496635966194,27535293
swap,4.842288031559957,51507101962374,2496618852580,27535307
swap,4.844554658896864,51495057236246,2497203397838,27535400
swap,4.844206509199192,51496908585364,2497113711440,27535417
swap,4.846250889813633,51486050942117,2497640842755,27535442
swap,4.846132021558031,51486682691423,2497610226974,27535532
swap,4.848103435889763,51476218688837,2498118445365,27535591
swap,4.848009302931928,51476718688837,2498094205084,27535631
swap,4.847805588827416,51477800793843,2498041745635,27535692
swap,4.844784318908668,51493857430425,2497263593584,27535704
swap,4.844750200208584,51494038841155,2497254804657,27535781
swap,4.843745213328211,51499383263109,2496995907608,27535784
swap,4.845627791845051,51489383263121,2497481346594,27536024
swap,4.851928644579905,51455956331365,2499105389974,27536041
swap,4.851514859655928,51458151717402,2498998875950,27536071
swap,4.855616873053708,51436422134837,2500055647722,27536086
swap,4.855150057296612,51438896081710,2499935528112,27536098
swap,4.8573798438975855,51427094085571,2500509812227,27536195
swap,4.857293032892935,51427553873674,2500487478772,27536213
swap,4.862468309504064,51400192300408,2501819881513,27536233
swap,4.8621057508090075,51402109634430,2501726655228,27536247
swap,4.867691464276223,51372623759713,2503163985712,27536253
swap,4.86740117545083,51374156419120,2503089382805,27536273
swap,4.8721521599425355,51349114582045,2504311306527,27536276
swap,4.871762381413479,51351169730955,2504211180549,27536294
swap,4.871664765391372,51351684460489,2504186104401,27536321
swap,4.871585272379057,51352103638775,2504165683607,27536343
swap,4.871457753265458,51352776087157,2504132925140,27536405
swap,4.875234961170645,51332888770557,2505104043965,27536428
swap,4.877228967513235,51322399477230,2505616550677,27536446
swap,4.8768445509597225,51324423189518,2505517853483,27536458
swap,4.8768255565256595,51324523189518,2505512976648,27536507
swap,4.882774091661134,51293265744066,2507041331850,27536536
swap,4.882494948206239,51294732733538,2506969704115,27536550
swap,4.882468154015522,51294873552336,2506962828664,27536573
swap,4.884683147764696,51283248041215,2507531706402,27536574
swap,4.884293048380946,51285296973526,2507431626546,27536592
swap,4.884287336981994,51285326973526,2507430161259,27536609
swap,4.884252796151738,51285508405666,2507421299624,27536619
swap,4.8865295287490955,51273565513707,2508005925195,27536631
swap,4.8864496677045155,51273984712973,2507985441067,27536642
swap,4.886402583918528,51274231865678,2507973364133,27536670
swap,4.889431875668153,51258353642192,2508751032957,27536705
