pool_name,x_reserve,y_reserve
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x4b3bd1c81d3e5d3fc00ceb17c8c5a77e733abe8ca205c22a2e9d323323a24f8c::CAKOG_coin::CAKOGCoin>",1507009,39647686048
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x4f7f8c8ff7d8d210a0276d6ad34b3585ff554085d2437258be25f0d3279783f2::LoveChina_coin::LoveChinaCoin>",40010,10731132942
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x50f67f030554b4f84597d2ae04e1b99f9e97d9e4b58f8b5b080bcafc09745cea::YZZcake_coin::YZZcakeCoin>",40007,6614125999
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x523fdc336019440410e087aae6332ca1ce8ed927adb2c00f0c488bb71ab5b918::aptos_frens::AptosFrens>",5092011,8478806096
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5854312824eb1ac38ee75221e24ff68bf8e72dffe2a571fdd568d7d573ef9849::PRT__JZLWFS::protonamgs>",324553,4558
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5854312824eb1ac38ee75221e24ff68bf8e72dffe2a571fdd568d7d573ef9849::PRT__XRLZBO::protonzqia>",1418320,170115
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5bc92571cd76b01e460ff137b2b2c734b674dbd547ea94d87e8aed5ebee3cb68::CakeMoon_coin::CakeMoonCoin>",40007,6614125999
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5c738a5dfa343bee927c39ebe85b0ceb95fdb5ee5b323c95559614f5a77c47cf::Aptoge::Aptoge>",94163053,94149308
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5ef6b01c3a9956bd22db6d3f938c722c26fa2327f92822d1dea6bdc449186138::Cakog_coin::CakogCoin>",199559,13056576645
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x5f78a451b80321c649a5039130c3681661d9fa270151727b6946e2b288cea352::PRT__OQJJZU::protondkxc>",1,2645752
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x61f3d4c6d6499dbfb9f50e4204950a1701deba3848038405964c2cd49a439062::tinyaptos::TINY>",429934,148449359746
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x666e6ca71e64eccd2b11612e8c5439ecfc36c2e6bdebb89902e01d17ab45b6a9::MOJITO::MOJITO>",91780,9749078738592
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x6a21d3d65cb5f578c73276682da923551a0af15f69e248d6bc997ede84465425::coins::MoveCoin>",1113067,1625833835
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x6cf4da54701518e8aecde632caa0b41fa210acb389d96ac0dc623da4fb497b89::CakeDoge_coin::CakeDogeCoin>",1323840,41998792850
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x6e9783056ba3e6d9938066622f25c8e167ebcb4ba5a3d3ef5aecc179627eb16b::PRT__ZNMYVU::protonyrxr>",225749,9912518703719
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x712824c29aead5e7f3f173c817e1c1e7d14565747e79684733e8e7a73b837483::zapinu::ZaptosInu>",31839892463,375518082823822
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x712f294837dc27829f6f0ad1d4c8baaced3351f936d3cff9b06f51ce4c0b7652::hipaptostoken::HIPAPTOS>",2175829,2012078376534947
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x74f244fab3b070b9f2e40a18d24713bce8b1d59d680a4bdba56bfbae3e2fe1e1::Peecoin::PeeCoin>",544124,6028987065140
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::KingCake::KingCake>",13528301,378496543502159
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::MemeCake::MemeCake>",336812,2608126115360246
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::SolarCake::SolarCake>",45580937,1140318334818624334
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::SuperCake::SuperCake>",2056327,8572863462624351
